p,invasion_steps,IP_elapsed_time,fraction_green,diffusion_steps,KD_elapsed_time,total_elapsed_time
0.05,31148,1.733,0.0098,3,0.027,1.792
0.1,30214,1.741,0.0144,6,0.044,1.817
0.15,29705,1.774,0.0203,7,0.052,1.856
0.2,29034,1.799,0.0257,9,0.089,1.918
0.25,27826,1.85,0.0309,13,0.131,2.009
0.3,26380,1.706,0.0354,18,0.164,1.899
0.35,24443,1.673,0.0426,24,0.234,1.936
0.4,24744,1.793,0.0522,23,0.192,2.015
0.45,24563,1.865,0.0562,23,0.247,2.145
0.5,23889,1.702,0.0726,25,0.259,2
0.05,31166,1.967,0.0093,3,0.02,2.016
0.1,30630,1.909,0.0147,4,0.028,1.966
0.15,29466,1.785,0.0203,8,0.057,1.871
0.2,27987,1.764,0.0263,13,0.147,1.941
0.25,28166,1.922,0.0302,12,0.126,2.078
0.3,26220,1.74,0.037,18,0.138,1.907
0.35,26662,2.011,0.0432,17,0.272,2.313
0.4,25348,1.803,0.0527,21,0.171,2.005
0.45,23537,1.699,0.0585,26,0.253,1.982
0.5,25537,1.837,0.0663,20,0.173,2.04
0.05,31226,2.176,0.0096,2,0.013,2.219
0.1,30200,1.826,0.0154,6,0.042,1.897
0.15,29745,1.938,0.0197,7,0.052,2.058
0.2,28830,1.853,0.0254,10,0.078,1.96
0.25,27952,1.899,0.033,13,0.11,2.039
0.3,27340,1.837,0.034,15,0.199,2.067
0.35,26023,1.965,0.0446,19,0.153,2.147
0.4,25599,2.121,0.0511,20,0.177,2.329
0.45,23810,1.929,0.0602,26,0.308,2.268
0.5,23792,1.81,0.0652,26,0.224,2.063
0.55,22486,1.542,0.0676,30,0.371,1.949
0.6,18348,1.546,0.0784,43,0.472,2.049
0.65,21239,1.694,0.1027,34,0.398,2.124
0.7,19071,1.539,0.1106,40,0.519,2.089
0.75,16995,1.628,0.1143,47,0.564,2.224
0.8,14876,1.59,0.1224,54,0.622,2.242
0.85,14170,1.561,0.1236,56,0.659,2.251
0.9,8965,1.35,0.093,72,0.768,2.148
0.55,21403,1.774,0.0753,33,0.352,2.156
0.6,17597,1.81,0.0714,45,0.474,2.32
0.65,19552,1.665,0.0905,39,0.426,2.128
0.7,16886,1.747,0.1069,47,0.535,2.312
0.75,19301,1.718,0.1237,40,0.482,2.23
0.8,13240,1.468,0.1032,59,0.667,2.165
0.85,13120,1.477,0.1172,59,0.687,2.195
0.9,9865,1.388,0.0971,69,0.739,2.159
0.55,22750,1.941,0.0747,29,0.316,2.289
0.6,20046,1.666,0.082,37,0.555,2.256
0.65,20053,1.988,0.0876,37,0.419,2.443
0.7,17808,1.766,0.1181,44,0.54,2.341
0.75,15256,1.613,0.1019,52,0.601,2.246
0.8,13875,1.562,0.1132,57,0.69,2.285
0.85,16888,2.055,0.142,47,0.636,2.724
0.9,10611,1.488,0.1023,67,0.776,2.295
0.55,19915,1.427,0.0674,38,0.434,1.893
0.6,18734,1.595,0.0789,41,0.458,2.084
0.65,19837,1.668,0.0955,38,0.497,2.197
0.7,17191,1.573,0.1061,46,0.549,2.154
0.75,14396,1.596,0.1045,55,0.643,2.271
0.8,16079,1.681,0.1266,50,0.605,2.317
0.85,13805,1.519,0.1228,57,0.748,2.3
0.9,11625,1.454,0.1116,64,0.748,2.233
0.55,20924,1.83,0.0688,35,0.385,2.247
0.6,19988,1.84,0.0849,38,0.416,2.288
0.65,20219,1.722,0.094,37,0.431,2.188
0.7,18884,1.84,0.1081,41,0.49,2.371
0.75,17213,1.693,0.1154,46,0.639,2.362
0.8,14793,1.559,0.1258,54,0.662,2.251
0.85,14493,1.56,0.1253,55,0.673,2.264
0.9,12119,1.496,0.1181,62,0.731,2.258
0.55,21922,1.93,0.0748,31,0.377,2.34
0.6,19416,1.681,0.0808,39,0.441,2.152
0.65,19331,1.962,0.0898,40,0.491,2.485
0.7,17571,1.649,0.1031,45,0.562,2.245
0.75,17134,1.631,0.1212,46,0.546,2.21
0.8,14817,1.667,0.1156,54,0.674,2.372
0.85,13442,2.003,0.1159,58,0.703,2.745
0.9,11836,1.502,0.1198,63,0.779,2.313
0.05,31212,1.819,0.0096,2,0.021,1.871
0.1,30188,1.82,0.0139,6,0.045,1.896
0.15,28808,1.839,0.0196,10,0.108,1.979
0.2,27860,1.829,0.0275,13,0.129,1.989
0.25,28452,1.962,0.0301,11,0.125,2.117
0.3,27813,1.822,0.0384,13,0.144,1.996
0.35,25456,1.79,0.0393,20,0.211,2.031
0.4,23777,1.871,0.0498,26,0.303,2.211
0.45,24827,1.856,0.0566,22,0.236,2.123
0.5,22177,1.73,0.0631,31,0.313,2.073
0.05,31355,2.118,0.0085,2,0.014,2.163
0.1,30267,1.982,0.0151,5,0.037,2.05
0.15,29627,1.885,0.0217,7,0.052,1.969
0.2,28289,1.857,0.026,12,0.151,2.037
